"age_band","sex","race_eth","untreated","untreated_low","untreated_upp","statin_use","statin_use_low","statin_use_upp","residual_risk","residual_risk_low","residual_risk_upp"
"40-49","Male","Mexican American",0.895514537962791,0.847692274245954,0.943336801679627,0.08642538569924,0.0446163029985581,0.128234468399922,0.0637890172336083,0.0212039233634428,0.106374111103774
"40-49","Male","Non-Hispanic Asian",0.836425571637588,0.777071559619447,0.895779583655729,0.137821120315361,0.0820454912334477,0.193596749397273,0.121240256003861,0.0738101392954051,0.168670372712317
"40-49","Male","Non-Hispanic Black",0.888472480064645,0.846332887653573,0.930612072475718,0.109907552008973,0.0679303538399037,0.151884750178042,0.0376133373098741,0.0144358935487847,0.0607907810709636
"40-49","Male","Non-Hispanic White",0.889914278787598,0.853339636765882,0.926488920809313,0.101808958080408,0.0656684914868873,0.137949424673929,0.0668208701522079,0.0349765802465309,0.0986651600578849
"40-49","Male","Other / Multiracial",0.729141049424613,0.50457281212918,0.953709286720046,0.270858950575387,0.0462907132799545,0.49542718787082,0.19090985019537,-0.0563633274911997,0.438183027881939
"40-49","Male","Other Hispanic",0.929745561107523,0.87750437694609,0.981986745268956,0.0518624313371011,0.00657723857914606,0.0971476240950561,0.0590553486551793,0.0114997323239,0.106610964986459
"40-49","Female","Mexican American",0.902839978959879,0.857422428550699,0.94825752936906,0.0928052384537137,0.0501956519994752,0.135414824907952,0.0288670410760031,0.00566970043342106,0.0520643817185852
"40-49","Female","Non-Hispanic Asian",0.967951757569047,0.936338430133152,0.999565085004941,0.0149077236172123,-0.00601789020307417,0.0358333374374988,0.0163295923758694,-0.00678053406835669,0.0394397188200955
"40-49","Female","Non-Hispanic Black",0.889340576115099,0.858631673166378,0.92004947906382,0.107728585273356,0.0763756719107679,0.139081498635944,0.0417347370438045,0.0202201323100153,0.0632493417775938
"40-49","Female","Non-Hispanic White",0.90279611157047,0.866552304953661,0.93903991818728,0.082246379688127,0.0510965418925013,0.113396217483753,0.0468412558548824,0.0229819113896102,0.0707006003201547
"40-49","Female","Other / Multiracial",0.942421850149066,0.88043321449319,1.00441048580494,0.0575781498509335,-0.00441048580494254,0.11956678550681,0.0575781498509335,-0.00441048580494254,0.11956678550681
"40-49","Female","Other Hispanic",0.932769855125365,0.89153766998416,0.97400204026657,0.0565091817239119,0.00867772968219071,0.104340633765633,0.0591624203545783,0.0216720017298585,0.0966528389792981
"50-59","Male","Mexican American",0.781514648965325,0.712750592676812,0.850278705253838,0.21269020646646,0.149230279582965,0.276150133349954,0.125888739482884,0.0680889869377083,0.183688492028059
"50-59","Male","Non-Hispanic Asian",0.650456362613864,0.58007834852104,0.720834376706687,0.302925917744818,0.229946602214439,0.375905233275198,0.146161606938675,0.0987378882308903,0.193585325646459
"50-59","Male","Non-Hispanic Black",0.728611037494928,0.673175063439224,0.784047011550632,0.266331328424794,0.211843011398452,0.320819645451136,0.112626743269378,0.0767490521450439,0.148504434393713
"50-59","Male","Non-Hispanic White",0.685778761110221,0.63398619501474,0.737571327205702,0.299478952762911,0.245070763112474,0.353887142413349,0.12498637860134,0.086737917262473,0.163234839940208
"50-59","Male","Other / Multiracial",0.771547988937103,0.623407866584001,0.919688111290204,0.220903720802158,0.0746274292113204,0.367180012392996,0.103420142401862,-0.0132313451654956,0.220071629969219
"50-59","Male","Other Hispanic",0.808498676636447,0.746620224460822,0.870377128812072,0.175400737704818,0.121718446637663,0.229083028771974,0.125291715491307,0.0656983381331287,0.184885092849486
"50-59","Female","Mexican American",0.791657451900894,0.722697934735731,0.860616969066057,0.200508134218119,0.131935701772623,0.269080566663615,0.146214263507515,0.0925579994131617,0.199870527601869
"50-59","Female","Non-Hispanic Asian",0.717001977304861,0.620800680109073,0.81320327450065,0.247187694491248,0.152346672345856,0.342028716636641,0.153192764251875,0.0848920810410588,0.221493447462692
"50-59","Female","Non-Hispanic Black",0.762886815058595,0.710891273575559,0.814882356541631,0.232654369901435,0.181066212043604,0.284242527759266,0.106605056578631,0.0729151396790831,0.14029497347818
"50-59","Female","Non-Hispanic White",0.758630386768206,0.720040806374915,0.797219967161497,0.221575917000704,0.182247744086871,0.260904089914538,0.11972530496688,0.0923029995304962,0.147147610403263
"50-59","Female","Other / Multiracial",0.601228601021544,0.372477375498683,0.829979826544404,0.398771398978456,0.170020173455596,0.627522624501317,0.259682918568804,-0.0132638630959823,0.53262970023359
"50-59","Female","Other Hispanic",0.759131285033349,0.684335310283817,0.833927259782881,0.221677936991996,0.153316456304367,0.290039417679625,0.151320410550142,0.0895049043777806,0.213135916722504
"60-69","Male","Mexican American",0.587902245405888,0.513200491111699,0.662603999700077,0.395331650310949,0.321115669667001,0.469547630954897,0.135529676536354,0.0886292223688319,0.182430130703876
"60-69","Male","Non-Hispanic Asian",0.562776080856649,0.466481503567795,0.659070658145504,0.427821184695356,0.330898833239258,0.524743536151454,0.111288381351234,0.0621644990173224,0.160412263685146
"60-69","Male","Non-Hispanic Black",0.6219705331733,0.577857209525448,0.666083856821151,0.370868118097359,0.326339433474556,0.415396802720161,0.123567214021754,0.0949562887179199,0.152178139325588
"60-69","Male","Non-Hispanic White",0.506547039705981,0.44945647630041,0.563637603111551,0.46512749973604,0.407831063845635,0.522423935626445,0.1630134444264,0.123948895238214,0.202077993614585
"60-69","Male","Other / Multiracial",0.41432655748604,0.199250219711918,0.629402895260162,0.58567344251396,0.370597104739838,0.800749780288082,0.213741629285475,-0.0031724317306738,0.430655690301624
"60-69","Male","Other Hispanic",0.648794915764578,0.571946961687344,0.725642869841812,0.336247283910089,0.260361630229275,0.412132937590903,0.118463556104886,0.0753612649071699,0.161565847302601
"60-69","Female","Mexican American",0.613746366209674,0.54551779202307,0.681974940396278,0.360772780804733,0.289968145969099,0.431577415640367,0.14209262647746,0.0836807071037928,0.200504545851127
"60-69","Female","Non-Hispanic Asian",0.552707706424076,0.469760691341179,0.635654721506974,0.418904133108919,0.337700254307264,0.500108011910573,0.155421123699807,0.104711126348355,0.20613112105126
"60-69","Female","Non-Hispanic Black",0.586253471851806,0.535301109529303,0.637205834174309,0.409222077418239,0.360032670509064,0.458411484327414,0.193328514679071,0.144216548504617,0.242440480853526
"60-69","Female","Non-Hispanic White",0.604143956574808,0.555348666261147,0.65293924688847,0.382425940848939,0.333192690507988,0.431659191189889,0.174614421813361,0.130090263489553,0.219138580137168
"60-69","Female","Other / Multiracial",0.49745944765639,0.284847085598625,0.710071809714155,0.429731199260267,0.223260741315909,0.636201657204626,0.167292718326473,-0.00619420405628504,0.340779640709232
"60-69","Female","Other Hispanic",0.599403706497055,0.531653278360792,0.667154134633318,0.385774132525451,0.317684826439052,0.453863438611849,0.198122293432681,0.139266363120503,0.25697822374486
"70+","Male","Mexican American",0.492048424828652,0.39346566346934,0.590631186187964,0.478409344563709,0.37865225692384,0.578166432203579,0.0729571747986513,0.0196161669863022,0.126298182611
